Product_ID,Product_Name,Category,Brand,Price,Manufacturer,Launch_Date,Shelf_Life_Years,Stock_Quantity,Discount_Available,Rating_Average
1,Shampoo,Beauty,BrandA,26.567213476608796,Manufacturer2,2023-09-13 17:14:59.282233056,1.0,273,No,1.0030004357339055
2,Soap,Personal Care,BrandX,14.667883996721434,Manufacturer2,2023-09-13 17:14:59.282233056,1.0,164,No,3.666201981709041
3,Soap,Health,BrandA,42.831836381975435,Manufacturer2,2023-09-13 17:14:59.282233056,1.0,46,Yes,4.263954761649448
4,Soap,Personal Care,BrandY,46.46001977487353,Manufacturer3,2023-09-13 17:14:59.282233056,2.0,246,Yes,4.748175080003289
5,Deodorant,Beauty,BrandZ,47.995523487773795,Manufacturer3,2023-09-13 17:14:59.282233056,1.0,282,No,4.537533250301226
6,Soap,Personal Care,BrandZ,,Manufacturer1,2023-09-13 17:14:59.282233056,1.0,76,No,3.2587815354795517
7,Deodorant,Personal Care,BrandZ,31.432169061740893,Manufacturer1,2023-09-13 17:14:59.282233056,4.0,66,No,3.5985701878151133
8,Toothpaste,Personal Care,BrandY,4.831233200785702,Manufacturer2,2023-09-13 17:14:59.282233056,3.0,156,No,1.064856220615884
9,Soap,Beauty,BrandX,27.661695173449594,Manufacturer2,2023-09-13 17:14:59.282233056,1.0,160,No,4.839244882636136
10,Soap,Personal Care,BrandX,8.006910526066973,Manufacturer3,2023-09-13 17:14:59.282233056,4.0,147,No,1.732145103645344
11,Shampoo,Health,BrandA,31.212376192668618,Manufacturer3,2023-09-13 17:14:59.282233056,3.0,410,No,
12,Deodorant,Beauty,BrandY,13.955559300889819,Manufacturer2,2023-09-13 17:14:59.282233056,4.0,303,No,1.8611662503845667
13,Soap,Hygiene,BrandX,42.28052849831944,Manufacturer3,2023-09-13 17:14:59.282233056,1.0,177,No,2.313460280505535
14,Shampoo,Health,BrandA,24.91399652009396,Manufacturer3,2023-09-13 17:14:59.282233056,4.0,414,No,2.0354262382484762
15,Deodorant,Hygiene,BrandZ,29.162192577464857,Manufacturer1,2023-09-13 17:14:59.282233056,2.0,114,No,4.354089230821274
16,Toothpaste,Health,BrandA,36.51068855151369,Manufacturer2,2023-09-13 17:14:59.282233056,1.0,20,Yes,1.0978988648982861
